Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
640-49-2076;B;Mandalay;Normal;Male;Sports and travel;83.78;8;33.512;703.752;1/10/2019;14:49;Cash;670.24;4.761904762;33.512;5.1
777-82-7220;B;Mandalay;Member;Male;Home and lifestyle;30.12;8;12.048;253.008;3/3/2019;13:01;Cash;240.96;4.761904762;12.048;7.7
280-35-5823;B;Mandalay;Member;Female;Home and lifestyle;86.72;1;4.336;91.056;1/17/2019;18:45;Ewallet;86.72;4.761904762;4.336;7.9
354-25-5821;B;Mandalay;Member;Female;Sports and travel;69.12;6;20.736;435.456;2/8/2019;13:03;Cash;414.72;4.761904762;20.736;5.6
132-32-9879;B;Mandalay;Member;Female;Electronic accessories;93.96;4;18.792;394.632;3/9/2019;18:00;Cash;375.84;4.761904762;18.792;9.5
370-41-7321;B;Mandalay;Member;Male;Health and beauty;56.69;9;25.5105;535.7205;2/27/2019;17:24;Credit card;510.21;4.761904762;25.5105;8.4
727-46-3608;B;Mandalay;Member;Female;Food and beverages;20.01;9;9.0045;189.0945;2/6/2019;15:47;Ewallet;180.09;4.761904762;9.0045;4.1
669-54-1719;B;Mandalay;Member;Male;Electronic accessories;18.93;6;5.679;119.259;2/10/2019;12:45;Credit card;113.58;4.761904762;5.679;8.1
616-24-2851;B;Mandalay;Member;Female;Fashion accessories;17.87;4;3.574;75.054;3/22/2019;14:42;Ewallet;71.48;4.761904762;3.574;6.5
242-55-6721;B;Mandalay;Normal;Male;Home and lifestyle;16.16;2;1.616;33.936;3/7/2019;11:49;Ewallet;32.32;4.761904762;1.616;6.5
347-34-2234;B;Mandalay;Member;Female;Sports and travel;55.07;9;24.7815;520.4115;2/3/2019;13:40;Ewallet;495.63;4.761904762;24.7815;10.0
853-23-2453;B;Mandalay;Member;Male;Health and beauty;75.74;4;15.148;318.108;2/14/2019;14:35;Cash;302.96;4.761904762;15.148;7.6
109-28-2512;B;Mandalay;Member;Female;Fashion accessories;97.61;6;29.283;614.943;1/7/2019;15:01;Ewallet;585.66;4.761904762;29.283;9.9
510-95-6347;B;Mandalay;Member;Female;Food and beverages;48.52;3;7.278;152.838;3/5/2019;18:17;Ewallet;145.56;4.761904762;7.278;4.0
847-38-7188;B;Mandalay;Normal;Female;Food and beverages;96.68;3;14.502;304.542;1/26/2019;19:56;Ewallet;290.04;4.761904762;14.502;6.4
318-68-5053;B;Mandalay;Normal;Female;Health and beauty;76.99;6;23.097;485.037;2/27/2019;17:55;Cash;461.94;4.761904762;23.097;6.1
152-08-9985;B;Mandalay;Member;Male;Health and beauty;64.36;9;28.962;608.202;3/12/2019;12:09;Credit card;579.24;4.761904762;28.962;8.6
766-85-7061;B;Mandalay;Normal;Male;Health and beauty;87.87;10;43.935;922.635;3/29/2019;10:25;Ewallet;878.7;4.761904762;43.935;5.1
733-01-9107;B;Mandalay;Normal;Male;Home and lifestyle;82.7;6;24.81;521.01;3/5/2019;18:14;Cash;496.2;4.761904762;24.81;7.4
716-39-1409;B;Mandalay;Normal;Male;Health and beauty;30.35;7;10.6225;223.0725;3/19/2019;18:19;Cash;212.45;4.761904762;10.6225;8.0
479-26-8945;B;Mandalay;Member;Female;Sports and travel;16.49;2;1.649;34.629;2/5/2019;11:32;Ewallet;32.98;4.761904762;1.649;4.6
227-78-1148;B;Mandalay;Normal;Female;Fashion accessories;72.84;7;25.494;535.374;2/15/2019;12:44;Cash;509.88;4.761904762;25.494;8.4
291-32-1427;B;Mandalay;Member;Male;Fashion accessories;21.94;5;5.485;115.185;3/5/2019;12:29;Ewallet;109.7;4.761904762;5.485;5.3
659-65-8956;B;Mandalay;Member;Male;Fashion accessories;51.36;1;2.568;53.928;1/16/2019;15:26;Ewallet;51.36;4.761904762;2.568;5.2
378-24-2715;B;Mandalay;Normal;Male;Home and lifestyle;53.44;2;5.344;112.224;1/20/2019;20:38;Ewallet;106.88;4.761904762;5.344;4.1
219-22-9386;B;Mandalay;Member;Male;Sports and travel;99.96;9;44.982;944.622;3/9/2019;17:26;Credit card;899.64;4.761904762;44.982;4.2
268-27-6179;B;Mandalay;Member;Female;Fashion accessories;56.47;8;22.588;474.348;3/9/2019;14:57;Ewallet;451.76;4.761904762;22.588;7.3
549-84-7482;B;Mandalay;Normal;Female;Sports and travel;90.28;9;40.626;853.146;2/8/2019;11:15;Ewallet;812.52;4.761904762;40.626;7.2
191-10-6171;B;Mandalay;Normal;Female;Fashion accessories;39.62;7;13.867;291.207;1/25/2019;13:18;Cash;277.34;4.761904762;13.867;7.5
695-51-0018;B;Mandalay;Normal;Female;Sports and travel;34.84;4;6.968;146.328;2/10/2019;18:36;Cash;139.36;4.761904762;6.968;7.4
590-83-4591;B;Mandalay;Member;Male;Electronic accessories;87.45;6;26.235;550.935;2/17/2019;14:40;Credit card;524.7;4.761904762;26.235;8.8
241-72-9525;B;Mandalay;Normal;Male;Sports and travel;51.91;10;25.955;545.055;2/16/2019;12:21;Cash;519.1;4.761904762;25.955;8.2
262-47-2794;B;Mandalay;Member;Male;Home and lifestyle;71.86;8;28.744;603.624;3/6/2019;15:07;Credit card;574.88;4.761904762;28.744;6.2
608-96-3517;B;Mandalay;Member;Female;Fashion accessories;91.54;4;18.308;384.468;3/23/2019;19:20;Credit card;366.16;4.761904762;18.308;4.8
279-74-2924;B;Mandalay;Member;Male;Electronic accessories;72.17;1;3.6085;75.7785;1/4/2019;19:40;Cash;72.17;4.761904762;3.6085;6.1
307-85-2293;B;Mandalay;Normal;Male;Home and lifestyle;50.28;5;12.57;263.97;3/7/2019;13:58;Ewallet;251.4;4.761904762;12.57;9.7
743-04-1105;B;Mandalay;Member;Male;Health and beauty;97.22;9;43.749;918.729;3/30/2019;14:43;Ewallet;874.98;4.761904762;43.749;6.0
423-57-2993;B;Mandalay;Normal;Male;Sports and travel;93.39;6;28.017;588.357;3/27/2019;19:18;Ewallet;560.34;4.761904762;28.017;10.0
548-46-9322;B;Mandalay;Normal;Male;Food and beverages;39.9;10;19.95;418.95;2/20/2019;15:24;Credit card;399.0;4.761904762;19.95;5.9
505-02-0892;B;Mandalay;Member;Male;Health and beauty;42.57;8;17.028;357.588;2/25/2019;14:12;Ewallet;340.56;4.761904762;17.028;5.6
316-55-4634;B;Mandalay;Member;Male;Food and beverages;80.05;5;20.0125;420.2625;1/26/2019;12:45;Credit card;400.25;4.761904762;20.0125;9.4
608-27-6295;B;Mandalay;Member;Male;Electronic accessories;52.89;6;15.867;333.207;1/19/2019;17:34;Credit card;317.34;4.761904762;15.867;9.8
414-12-7047;B;Mandalay;Normal;Male;Food and beverages;19.79;8;7.916;166.236;1/18/2019;12:04;Ewallet;158.32;4.761904762;7.916;8.7
895-66-0685;B;Mandalay;Member;Male;Food and beverages;18.08;3;2.712;56.952;3/5/2019;19:46;Ewallet;54.24;4.761904762;2.712;8.0
305-14-0245;B;Mandalay;Member;Female;Home and lifestyle;94.49;8;37.796;793.716;3/3/2019;19:00;Ewallet;755.92;4.761904762;37.796;7.5
732-04-5373;B;Mandalay;Member;Male;Home and lifestyle;46.47;4;9.294;195.174;2/8/2019;10:53;Cash;185.88;4.761904762;9.294;7.0
284-34-9626;B;Mandalay;Normal;Female;Home and lifestyle;77.04;3;11.556;242.676;2/11/2019;10:39;Credit card;231.12;4.761904762;11.556;7.2
437-58-8131;B;Mandalay;Normal;Female;Fashion accessories;73.52;2;7.352;154.392;1/15/2019;13:41;Ewallet;147.04;4.761904762;7.352;4.6
641-43-2399;B;Mandalay;Normal;Male;Home and lifestyle;25.55;4;5.11;107.31;1/26/2019;20:23;Ewallet;102.2;4.761904762;5.11;5.7
542-41-0513;B;Mandalay;Member;Female;Electronic accessories;57.49;4;11.498;241.458;3/15/2019;11:57;Cash;229.96;4.761904762;11.498;6.6
875-46-5808;B;Mandalay;Member;Male;Health and beauty;25.9;10;12.95;271.95;2/6/2019;14:51;Ewallet;259.0;4.761904762;12.95;8.7
394-43-4238;B;Mandalay;Member;Male;Home and lifestyle;17.77;5;4.4425;93.2925;2/15/2019;12:42;Credit card;88.85;4.761904762;4.4425;5.4
573-58-9734;B;Mandalay;Normal;Female;Fashion accessories;30.37;3;4.5555;95.6655;3/28/2019;13:41;Ewallet;91.11;4.761904762;4.5555;5.1
817-69-8206;B;Mandalay;Normal;Female;Electronic accessories;99.73;9;44.8785;942.4485;3/2/2019;19:42;Credit card;897.57;4.761904762;44.8785;6.5
142-63-6033;B;Mandalay;Normal;Male;Home and lifestyle;92.36;5;23.09;484.89;3/20/2019;19:17;Ewallet;461.8;4.761904762;23.09;4.9
656-16-1063;B;Mandalay;Normal;Male;Sports and travel;46.42;3;6.963;146.223;1/4/2019;13:24;Credit card;139.26;4.761904762;6.963;4.4
891-58-8335;B;Mandalay;Member;Female;Sports and travel;29.61;7;10.3635;217.6335;3/11/2019;15:53;Cash;207.27;4.761904762;10.3635;6.5
560-30-5617;B;Mandalay;Normal;Female;Sports and travel;24.77;5;6.1925;130.0425;3/24/2019;18:27;Cash;123.85;4.761904762;6.1925;8.5
549-03-9315;B;Mandalay;Normal;Male;Fashion accessories;94.87;8;37.948;796.908;2/12/2019;12:58;Ewallet;758.96;4.761904762;37.948;8.7
790-29-1172;B;Mandalay;Normal;Female;Food and beverages;57.34;3;8.601;180.621;3/10/2019;18:59;Credit card;172.02;4.761904762;8.601;7.9
239-36-3640;B;Mandalay;Normal;Male;Electronic accessories;45.35;6;13.605;285.705;1/31/2019;13:44;Ewallet;272.1;4.761904762;13.605;6.1
468-01-2051;B;Mandalay;Normal;Male;Food and beverages;62.08;7;21.728;456.288;3/6/2019;13:46;Ewallet;434.56;4.761904762;21.728;5.4
836-82-5858;B;Mandalay;Member;Male;Health and beauty;69.37;9;31.2165;655.5465;1/26/2019;19:14;Ewallet;624.33;4.761904762;31.2165;4.0
466-61-5506;B;Mandalay;Member;Female;Electronic accessories;90.7;6;27.21;571.41;2/26/2019;10:52;Cash;544.2;4.761904762;27.21;5.3
289-65-5721;B;Mandalay;Normal;Female;Fashion accessories;81.37;2;8.137;170.877;1/26/2019;19:28;Cash;162.74;4.761904762;8.137;6.5
545-46-3100;B;Mandalay;Member;Female;Electronic accessories;10.59;3;1.5885;33.3585;3/12/2019;13:52;Credit card;31.77;4.761904762;1.5885;8.7
418-02-5978;B;Mandalay;Normal;Female;Health and beauty;84.09;9;37.8405;794.6505;2/11/2019;10:54;Cash;756.81;4.761904762;37.8405;8.0
269-04-5750;B;Mandalay;Member;Male;Fashion accessories;73.82;4;14.764;310.044;2/21/2019;18:31;Cash;295.28;4.761904762;14.764;6.7
346-84-3103;B;Mandalay;Member;Female;Electronic accessories;13.22;5;3.305;69.405;3/2/2019;19:26;Cash;66.1;4.761904762;3.305;4.3
376-02-8238;B;Mandalay;Normal;Male;Home and lifestyle;93.87;8;37.548;788.508;2/2/2019;18:42;Credit card;750.96;4.761904762;37.548;8.3
866-05-7563;B;Mandalay;Member;Female;Electronic accessories;81.4;3;12.21;256.41;2/9/2019;19:43;Cash;244.2;4.761904762;12.21;4.8
785-13-7708;B;Mandalay;Normal;Male;Food and beverages;73.06;7;25.571;536.991;1/14/2019;19:06;Credit card;511.42;4.761904762;25.571;4.2
845-51-0542;B;Mandalay;Member;Male;Food and beverages;46.55;9;20.9475;439.8975;2/2/2019;15:34;Ewallet;418.95;4.761904762;20.9475;6.4
110-48-7033;B;Mandalay;Member;Male;Fashion accessories;32.62;4;6.524;137.004;1/29/2019;14:12;Cash;130.48;4.761904762;6.524;9.0
655-85-5130;B;Mandalay;Member;Female;Fashion accessories;38.3;4;7.66;160.86;3/13/2019;19:22;Cash;153.2;4.761904762;7.66;5.7
154-74-7179;B;Mandalay;Normal;Male;Sports and travel;54.45;1;2.7225;57.1725;2/26/2019;19:24;Ewallet;54.45;4.761904762;2.7225;7.9
571-94-0759;B;Mandalay;Member;Female;Food and beverages;74.6;10;37.3;783.3;1/8/2019;20:55;Cash;746.0;4.761904762;37.3;9.5
783-09-1637;B;Mandalay;Normal;Female;Sports and travel;67.43;5;16.8575;354.0075;3/6/2019;18:13;Ewallet;337.15;4.761904762;16.8575;6.3
477-24-6490;B;Mandalay;Normal;Female;Health and beauty;99.71;6;29.913;628.173;2/26/2019;16:52;Ewallet;598.26;4.761904762;29.913;7.9
566-19-5475;B;Mandalay;Normal;Male;Fashion accessories;47.97;7;16.7895;352.5795;1/7/2019;20:52;Cash;335.79;4.761904762;16.7895;6.2
498-41-1961;B;Mandalay;Normal;Male;Health and beauty;66.68;5;16.67;350.07;2/20/2019;18:01;Cash;333.4;4.761904762;16.67;7.6
283-79-9594;B;Mandalay;Normal;Female;Food and beverages;48.51;7;16.9785;356.5485;1/25/2019;13:30;Credit card;339.57;4.761904762;16.9785;5.2
139-20-0155;B;Mandalay;Member;Male;Electronic accessories;40.3;10;20.15;423.15;1/24/2019;17:37;Credit card;403.0;4.761904762;20.15;7.0
585-03-5943;B;Mandalay;Normal;Male;Health and beauty;18.11;10;9.055;190.155;3/13/2019;11:46;Ewallet;181.1;4.761904762;9.055;5.9
573-10-3877;B;Mandalay;Member;Male;Health and beauty;39.01;1;1.9505;40.9605;3/12/2019;16:46;Credit card;39.01;4.761904762;1.9505;4.7
396-90-2219;B;Mandalay;Normal;Female;Electronic accessories;14.96;8;5.984;125.664;2/23/2019;12:29;Cash;119.68;4.761904762;5.984;8.6
532-59-7201;B;Mandalay;Member;Male;Sports and travel;79.93;6;23.979;503.559;1/31/2019;14:04;Cash;479.58;4.761904762;23.979;5.5
276-54-0879;B;Mandalay;Normal;Male;Sports and travel;97.74;4;19.548;410.508;3/12/2019;19:53;Ewallet;390.96;4.761904762;19.548;6.4
730-61-8757;B;Mandalay;Member;Male;Health and beauty;51.13;4;10.226;214.746;1/25/2019;10:11;Credit card;204.52;4.761904762;10.226;4.0
868-81-1752;B;Mandalay;Normal;Male;Home and lifestyle;22.02;9;9.909;208.089;2/7/2019;18:48;Cash;198.18;4.761904762;9.909;6.8
692-27-8933;B;Mandalay;Normal;Female;Sports and travel;57.95;6;17.385;365.085;2/24/2019;13:02;Cash;347.7;4.761904762;17.385;5.2
374-17-3652;B;Mandalay;Member;Female;Food and beverages;42.82;9;19.269;404.649;2/5/2019;15:26;Credit card;385.38;4.761904762;19.269;8.9
378-07-7001;B;Mandalay;Member;Male;Electronic accessories;48.09;3;7.2135;151.4835;2/10/2019;18:23;Credit card;144.27;4.761904762;7.2135;7.8
433-75-6987;B;Mandalay;Member;Female;Health and beauty;55.97;7;19.5895;411.3795;3/5/2019;19:06;Ewallet;391.79;4.761904762;19.5895;8.9
873-95-4984;B;Mandalay;Member;Female;Health and beauty;76.9;7;26.915;565.215;2/15/2019;20:21;Cash;538.3;4.761904762;26.915;7.7
400-45-1220;B;Mandalay;Normal;Female;Health and beauty;13.5;10;6.75;141.75;2/27/2019;11:06;Credit card;135.0;4.761904762;6.75;4.8
115-99-4379;B;Mandalay;Member;Female;Fashion accessories;54.73;7;19.1555;402.2655;3/14/2019;19:02;Credit card;383.11;4.761904762;19.1555;8.5
565-67-6697;B;Mandalay;Member;Male;Home and lifestyle;27.0;9;12.15;255.15;3/2/2019;14:16;Cash;243.0;4.761904762;12.15;4.8
889-04-9723;B;Mandalay;Member;Female;Food and beverages;89.14;4;17.828;374.388;1/7/2019;12:20;Credit card;356.56;4.761904762;17.828;7.8
453-63-6187;B;Mandalay;Normal;Male;Electronic accessories;27.5;3;4.125;86.625;3/1/2019;15:40;Ewallet;82.5;4.761904762;4.125;6.5
578-80-7669;B;Mandalay;Normal;Male;Sports and travel;74.97;1;3.7485;78.7185;3/16/2019;16:58;Cash;74.97;4.761904762;3.7485;5.6
201-86-2184;B;Mandalay;Member;Female;Electronic accessories;26.26;7;9.191;193.011;2/2/2019;19:40;Cash;183.82;4.761904762;9.191;9.9
261-12-8671;B;Mandalay;Normal;Female;Fashion accessories;60.96;2;6.096;128.016;1/25/2019;19:39;Credit card;121.92;4.761904762;6.096;4.9
843-01-4703;B;Mandalay;Member;Female;Home and lifestyle;35.38;9;15.921;334.341;1/5/2019;19:50;Credit card;318.42;4.761904762;15.921;9.6
182-69-8360;B;Mandalay;Normal;Female;Electronic accessories;23.65;4;4.73;99.33;1/30/2019;13:32;Credit card;94.6;4.761904762;4.73;4.0
868-52-7573;B;Mandalay;Normal;Female;Food and beverages;99.69;5;24.9225;523.3725;1/14/2019;12:09;Cash;498.45;4.761904762;24.9225;9.9
525-88-7307;B;Mandalay;Member;Male;Sports and travel;75.82;1;3.791;79.611;1/31/2019;13:19;Cash;75.82;4.761904762;3.791;5.8
596-42-3999;B;Mandalay;Normal;Male;Food and beverages;18.22;7;6.377;133.917;3/10/2019;14:04;Credit card;127.54;4.761904762;6.377;6.6
173-82-9529;B;Mandalay;Normal;Female;Fashion accessories;37.95;10;18.975;398.475;1/26/2019;14:51;Cash;379.5;4.761904762;18.975;9.7
760-54-1821;B;Mandalay;Normal;Male;Home and lifestyle;13.59;9;6.1155;128.4255;3/15/2019;10:26;Cash;122.31;4.761904762;6.1155;5.8
793-10-3222;B;Mandalay;Member;Female;Health and beauty;41.06;6;12.318;258.678;3/5/2019;13:30;Credit card;246.36;4.761904762;12.318;8.3
346-12-3257;B;Mandalay;Member;Male;Electronic accessories;19.24;9;8.658;181.818;3/4/2019;16:28;Cash;173.16;4.761904762;8.658;8.0
831-64-0259;B;Mandalay;Normal;Female;Fashion accessories;39.75;5;9.9375;208.6875;2/22/2019;10:43;Ewallet;198.75;4.761904762;9.9375;9.6
725-32-9708;B;Mandalay;Member;Female;Fashion accessories;68.71;4;13.742;288.582;1/4/2019;19:01;Cash;274.84;4.761904762;13.742;4.1
244-08-0162;B;Mandalay;Normal;Female;Health and beauty;34.21;10;17.105;359.205;1/2/2019;13:00;Cash;342.1;4.761904762;17.105;5.1
569-71-4390;B;Mandalay;Normal;Male;Sports and travel;21.87;2;2.187;45.927;1/25/2019;14:29;Ewallet;43.74;4.761904762;2.187;6.9
268-03-6164;B;Mandalay;Normal;Male;Health and beauty;96.11;1;4.8055;100.9155;1/25/2019;16:28;Ewallet;96.11;4.761904762;4.8055;7.8
848-07-1692;B;Mandalay;Normal;Female;Health and beauty;57.22;2;5.722;120.162;1/12/2019;17:13;Ewallet;114.44;4.761904762;5.722;8.3
301-81-8610;B;Mandalay;Member;Male;Fashion accessories;25.42;8;10.168;213.528;3/19/2019;19:42;Credit card;203.36;4.761904762;10.168;6.7
198-84-7132;B;Mandalay;Member;Male;Fashion accessories;40.61;9;18.2745;383.7645;1/2/2019;13:40;Cash;365.49;4.761904762;18.2745;7.0
650-98-6268;B;Mandalay;Member;Female;Food and beverages;20.87;3;3.1305;65.7405;3/20/2019;13:53;Credit card;62.61;4.761904762;3.1305;8.0
741-73-3559;B;Mandalay;Normal;Male;Sports and travel;67.27;5;16.8175;353.1675;2/27/2019;17:27;Cash;336.35;4.761904762;16.8175;6.9
286-75-7818;B;Mandalay;Normal;Male;Fashion accessories;69.08;2;6.908;145.068;1/31/2019;19:48;Credit card;138.16;4.761904762;6.908;6.9
616-87-0016;B;Mandalay;Normal;Male;Fashion accessories;95.54;7;33.439;702.219;3/9/2019;14:36;Credit card;668.78;4.761904762;33.439;9.6
837-55-7229;B;Mandalay;Normal;Female;Fashion accessories;47.44;1;2.372;49.812;2/22/2019;18:19;Credit card;47.44;4.761904762;2.372;6.8
394-30-3170;B;Mandalay;Member;Female;Sports and travel;88.43;8;35.372;742.812;3/22/2019;19:35;Credit card;707.44;4.761904762;35.372;4.3
390-80-5128;B;Mandalay;Member;Female;Health and beauty;19.15;1;0.9575;20.1075;1/28/2019;17:58;Credit card;19.15;4.761904762;0.9575;9.5
296-11-7041;B;Mandalay;Member;Female;Health and beauty;27.07;1;1.3535;28.4235;1/12/2019;20:07;Credit card;27.07;4.761904762;1.3535;5.3
449-27-2918;B;Mandalay;Member;Female;Sports and travel;39.12;1;1.956;41.076;3/26/2019;11:02;Credit card;39.12;4.761904762;1.956;9.6
891-01-7034;B;Mandalay;Normal;Female;Electronic accessories;74.71;6;22.413;470.673;1/1/2019;19:07;Cash;448.26;4.761904762;22.413;6.7
744-09-5786;B;Mandalay;Normal;Male;Electronic accessories;22.01;6;6.603;138.663;1/2/2019;18:50;Cash;132.06;4.761904762;6.603;7.6
767-54-1907;B;Mandalay;Member;Female;Fashion accessories;29.56;5;7.39;155.19;2/13/2019;16:59;Cash;147.8;4.761904762;7.39;6.9
710-46-4433;B;Mandalay;Member;Female;Food and beverages;77.4;9;34.83;731.43;2/15/2019;14:15;Credit card;696.6;4.761904762;34.83;4.5
533-33-5337;B;Mandalay;Normal;Male;Electronic accessories;79.39;10;39.695;833.595;2/7/2019;20:24;Cash;793.9;4.761904762;39.695;6.2
234-03-4040;B;Mandalay;Member;Female;Food and beverages;73.05;10;36.525;767.025;3/3/2019;12:25;Credit card;730.5;4.761904762;36.525;8.7
554-53-3790;B;Mandalay;Normal;Male;Sports and travel;37.02;6;11.106;233.226;3/22/2019;18:33;Cash;222.12;4.761904762;11.106;4.5
731-59-7531;B;Mandalay;Member;Male;Health and beauty;72.57;8;29.028;609.588;3/30/2019;17:58;Cash;580.56;4.761904762;29.028;4.6
701-69-8742;B;Mandalay;Normal;Male;Sports and travel;34.37;10;17.185;360.885;3/16/2019;10:11;Ewallet;343.7;4.761904762;17.185;6.7
305-18-3552;B;Mandalay;Member;Male;Home and lifestyle;60.38;10;30.19;633.99;2/12/2019;16:19;Cash;603.8;4.761904762;30.19;6.0
438-01-4015;B;Mandalay;Member;Female;Sports and travel;49.49;4;9.898;207.858;3/21/2019;15:25;Ewallet;197.96;4.761904762;9.898;6.6
709-58-4068;B;Mandalay;Normal;Female;Fashion accessories;41.09;10;20.545;431.445;2/28/2019;14:42;Cash;410.9;4.761904762;20.545;7.3
627-95-3243;B;Mandalay;Member;Female;Home and lifestyle;77.68;9;34.956;734.076;2/4/2019;13:21;Ewallet;699.12;4.761904762;34.956;9.8
686-41-0932;B;Mandalay;Normal;Female;Fashion accessories;34.7;2;3.47;72.87;3/13/2019;19:48;Ewallet;69.4;4.761904762;3.47;8.2
608-04-3797;B;Mandalay;Member;Female;Health and beauty;25.32;8;10.128;212.688;3/5/2019;20:24;Ewallet;202.56;4.761904762;10.128;8.7
437-53-3084;B;Mandalay;Normal;Male;Fashion accessories;99.89;2;9.989;209.769;2/26/2019;11:48;Ewallet;199.78;4.761904762;9.989;7.1
632-32-4574;B;Mandalay;Normal;Male;Sports and travel;75.92;8;30.368;637.728;3/20/2019;14:14;Cash;607.36;4.761904762;30.368;5.5
401-18-8016;B;Mandalay;Member;Female;Sports and travel;98.13;1;4.9065;103.0365;1/21/2019;17:36;Cash;98.13;4.761904762;4.9065;8.9
277-63-2961;B;Mandalay;Member;Male;Sports and travel;73.97;1;3.6985;77.6685;2/3/2019;15:53;Credit card;73.97;4.761904762;3.6985;5.4
282-35-2475;B;Mandalay;Normal;Female;Sports and travel;93.31;2;9.331;195.951;3/25/2019;17:53;Cash;186.62;4.761904762;9.331;6.3
511-54-3087;B;Mandalay;Normal;Male;Sports and travel;88.45;1;4.4225;92.8725;2/25/2019;16:36;Credit card;88.45;4.761904762;4.4225;9.5
387-49-4215;B;Mandalay;Member;Female;Sports and travel;48.5;3;7.275;152.775;1/8/2019;12:50;Cash;145.5;4.761904762;7.275;6.7
862-17-9201;B;Mandalay;Normal;Female;Food and beverages;84.05;6;25.215;529.515;1/29/2019;10:48;Credit card;504.3;4.761904762;25.215;7.7
291-21-5991;B;Mandalay;Member;Male;Health and beauty;61.29;5;15.3225;321.7725;3/29/2019;14:28;Cash;306.45;4.761904762;15.3225;7.0
347-72-6115;B;Mandalay;Member;Female;Sports and travel;90.74;7;31.759;666.939;1/16/2019;18:03;Credit card;635.18;4.761904762;31.759;6.2
425-85-2085;B;Mandalay;Member;Male;Health and beauty;54.86;5;13.715;288.015;3/29/2019;16:48;Ewallet;274.3;4.761904762;13.715;9.8
734-91-1155;B;Mandalay;Normal;Female;Electronic accessories;45.71;3;6.8565;143.9865;3/26/2019;10:34;Credit card;137.13;4.761904762;6.8565;7.7
286-62-6248;B;Mandalay;Normal;Male;Fashion accessories;39.21;4;7.842;164.682;1/16/2019;20:03;Credit card;156.84;4.761904762;7.842;9.0
339-38-9982;B;Mandalay;Member;Male;Fashion accessories;59.86;2;5.986;125.706;1/13/2019;14:55;Ewallet;119.72;4.761904762;5.986;6.7
827-44-5872;B;Mandalay;Member;Female;Food and beverages;54.36;10;27.18;570.78;2/7/2019;11:28;Credit card;543.6;4.761904762;27.18;6.1
857-67-9057;B;Mandalay;Normal;Male;Electronic accessories;22.95;10;11.475;240.975;2/6/2019;19:20;Ewallet;229.5;4.761904762;11.475;8.2
339-12-4827;B;Mandalay;Member;Female;Fashion accessories;73.96;1;3.698;77.658;1/5/2019;11:32;Credit card;73.96;4.761904762;3.698;5.0
173-50-1108;B;Mandalay;Member;Female;Sports and travel;20.18;4;4.036;84.756;2/13/2019;12:14;Credit card;80.72;4.761904762;4.036;5.0
841-18-8232;B;Mandalay;Normal;Female;Food and beverages;71.2;1;3.56;74.76;1/5/2019;20:40;Credit card;71.2;4.761904762;3.56;9.2
701-23-5550;B;Mandalay;Member;Male;Home and lifestyle;38.81;4;7.762;163.002;3/19/2019;13:40;Ewallet;155.24;4.761904762;7.762;4.9
539-21-7227;B;Mandalay;Normal;Female;Sports and travel;51.54;5;12.885;270.585;1/26/2019;17:45;Cash;257.7;4.761904762;12.885;4.2
747-58-7183;B;Mandalay;Normal;Male;Fashion accessories;57.27;3;8.5905;180.4005;2/9/2019;20:31;Ewallet;171.81;4.761904762;8.5905;6.5
582-52-8065;B;Mandalay;Normal;Female;Fashion accessories;54.31;9;24.4395;513.2295;2/22/2019;10:49;Cash;488.79;4.761904762;24.4395;8.9
